iter	Passed	Remaining
0	132	132851
1	134	66944
2	134	44768
3	135	33673
4	135	27015
5	136	22585
6	136	19419
7	137	17038
8	137	15188
9	138	13706
10	138	12494
11	139	11484
12	140	10629
13	140	9896
14	141	9262
15	141	8730
16	142	8243
17	143	7807
18	143	7416
19	144	7065
20	144	6747
21	145	6458
22	145	6195
23	146	5951
24	146	5727
25	147	5520
26	147	5328
27	148	5149
28	148	4983
29	149	4829
30	149	4684
31	150	4548
32	150	4421
33	151	4302
34	151	4188
35	152	4081
36	152	3980
37	153	3885
38	153	3794
39	154	3707
40	154	3624
41	155	3546
42	156	3472
43	156	3401
44	157	3332
45	157	3267
46	158	3205
47	158	3144
48	159	3087
49	159	3032
50	160	2978
51	160	2927
52	161	2878
53	161	2830
54	162	2784
55	162	2740
56	163	2697
57	163	2656
58	164	2624
59	165	2586
60	165	2549
61	166	2513
62	166	2478
63	167	2445
64	167	2413
65	168	2381
66	168	2350
67	169	2320
68	169	2291
69	170	2263
70	170	2237
71	171	2210
72	172	2185
73	172	2161
74	173	2136
75	173	2112
76	174	2090
77	174	2067
78	175	2046
79	176	2024
80	176	2003
81	177	1983
82	177	1960
83	178	1941
84	178	1922
85	179	1903
86	179	1885
87	180	1868
88	180	1851
89	181	1833
90	181	1816
91	182	1799
92	182	1783
93	183	1767
94	183	1751
95	184	1737
96	185	1722
97	185	1707
98	186	1693
99	186	1679
100	187	1665
101	187	1652
102	188	1639
103	188	1626
104	189	1613
105	189	1600
106	190	1588
107	190	1576
108	191	1563
109	191	1552
110	192	1540
111	192	1528
112	193	1517
113	193	1506
114	194	1495
115	194	1484
116	195	1473
117	195	1462
118	196	1452
119	196	1442
120	197	1432
121	197	1422
122	198	1412
123	198	1403
124	199	1393
125	199	1384
126	199	1374
127	200	1365
128	201	1357
129	201	1348
130	201	1339
131	202	1331
132	202	1322
133	203	1314
134	203	1306
135	204	1298
136	204	1291
137	205	1283
138	206	1276
139	206	1269
140	207	1261
141	207	1253
142	207	1246
143	208	1238
144	208	1231
145	209	1224
146	209	1217
147	210	1211
148	210	1204
149	211	1197
150	211	1191
151	212	1184
152	212	1178
153	213	1171
154	213	1165
155	214	1159
156	214	1153
157	215	1147
158	215	1141
159	216	1135
160	216	1129
161	217	1123
162	217	1117
163	218	1111
164	218	1106
165	219	1101
166	219	1095
167	220	1090
168	220	1085
169	221	1079
170	221	1074
171	222	1069
172	222	1064
173	223	1059
174	223	1055
175	224	1050
176	224	1045
177	225	1040
178	225	1035
179	226	1031
180	226	1026
181	227	1022
182	227	1017
183	228	1012
184	228	1008
185	229	1003
186	229	999
187	230	994
188	230	990
189	231	986
190	231	981
191	232	977
192	232	973
193	233	969
194	233	964
195	234	960
196	234	956
197	235	952
198	235	948
199	236	944
200	236	941
201	237	937
202	237	933
203	238	929
204	238	925
